title,author_name,url,num_upvotes,page_number
Daily Submission Limit Change,Greg Kamradt,https://www.kaggle.com/competitions/arc-prize-2024/discussion/515322,38,1
Welcome to ARC Prize 2024!,Greg Kamradt,https://www.kaggle.com/competitions/arc-prize-2024/discussion/510823,41,1
Get Started Here!,Addison Howard,https://www.kaggle.com/competitions/arc-prize-2024/discussion/510083,29,1
This Competition has an Official Discord Channel,Myles O'Neill,https://www.kaggle.com/competitions/arc-prize-2024/discussion/511707,19,1
[RESOLVED] Submission issues from the Viewer,inversion,https://www.kaggle.com/competitions/arc-prize-2024/discussion/514034,22,1
A wrong sample?,CPMP,https://www.kaggle.com/competitions/arc-prize-2024/discussion/536066,18,1
Using Docker from Jupyter notebook,inet,https://www.kaggle.com/competitions/arc-prize-2024/discussion/536500,3,1
Only at the Top,James Huddle,https://www.kaggle.com/competitions/arc-prize-2024/discussion/536365,2,1
Solving ARC with VLMs... or not,simjeg,https://www.kaggle.com/competitions/arc-prize-2024/discussion/535820,11,1
6 Successful Submissions But Still 0%,JK-Piece,https://www.kaggle.com/competitions/arc-prize-2024/discussion/536570,0,1
Solution approaches that have led to the current state-of-the-art.,AC,https://www.kaggle.com/competitions/arc-prize-2024/discussion/535811,10,1
Is the size of the test output known or do we predict it?,JK-Piece,https://www.kaggle.com/competitions/arc-prize-2024/discussion/536009,1,1
(Soldeved),Peter CXL,https://www.kaggle.com/competitions/arc-prize-2024/discussion/535084,-4,1
Clarification on Private Sharing with Hosts,Addison Howard,https://www.kaggle.com/competitions/arc-prize-2024/discussion/535703,3,1
Public-LB and Private-LB for the ARC Prize 2024: No Shakeup in this competition !,C R Suthikshn Kumar,https://www.kaggle.com/competitions/arc-prize-2024/discussion/535303,6,1
Is there only ever one test input in each row of data?,Ronan McGovern,https://www.kaggle.com/competitions/arc-prize-2024/discussion/535799,1,1
Public leaderboard vs Private Leaderboard?,AC,https://www.kaggle.com/competitions/arc-prize-2024/discussion/535592,0,1
September 18 Prize Increase!,Addison Howard,https://www.kaggle.com/competitions/arc-prize-2024/discussion/534826,10,1
Test time augmentation for active inference,chinnum97,https://www.kaggle.com/competitions/arc-prize-2024/discussion/535669,0,1
Submission time notebook error with GPU,Martin Kolar,https://www.kaggle.com/competitions/arc-prize-2024/discussion/533636,2,1
Some pointers for your paper : To all the people aiming for paper award.,AC,https://www.kaggle.com/competitions/arc-prize-2024/discussion/535343,3,2
[propose] Split Estimate Reasoning & Answer Image,yuzuhais,https://www.kaggle.com/competitions/arc-prize-2024/discussion/534078,1,2
Why is it so hard to train a deep learning model for ARC?,JK-Piece,https://www.kaggle.com/competitions/arc-prize-2024/discussion/535206,0,2
Paper Award Second Runner up Prize money discrepancy 20000 USD or 5000 USD?,AC,https://www.kaggle.com/competitions/arc-prize-2024/discussion/534854,2,2
Main guideline for achieving 100% results.,Youssef Sanhaji,https://www.kaggle.com/competitions/arc-prize-2024/discussion/533951,2,2
Videos relevant for ARC Prize 2024,C R Suthikshn Kumar,https://www.kaggle.com/competitions/arc-prize-2024/discussion/534437,6,2
Weird Errors...,James Huddle,https://www.kaggle.com/competitions/arc-prize-2024/discussion/533524,2,2
Listen to You Head... Talk...,James Huddle,https://www.kaggle.com/competitions/arc-prize-2024/discussion/534699,0,2
Empty outputs,gromml,https://www.kaggle.com/competitions/arc-prize-2024/discussion/534766,1,2
Isn't o1 performance still quite poor compared to humans?,Afiq Hatta,https://www.kaggle.com/competitions/arc-prize-2024/discussion/534175,2,2
solved in openai's o1?,rangtang,https://www.kaggle.com/competitions/arc-prize-2024/discussion/533813,7,2
[Fixed] Notebook Threw Exception (error),"touch me, midas",https://www.kaggle.com/competitions/arc-prize-2024/discussion/534066,3,2
Tasks 39a8645d and 73ccf9c2 have 2 possible solutions,Turbo,https://www.kaggle.com/competitions/arc-prize-2024/discussion/531848,6,2
Measuring submission runtime with Distill Web Monitor,Guillermo Barbadillo,https://www.kaggle.com/competitions/arc-prize-2024/discussion/533645,9,2
Is it possible to use GPT API?,young,https://www.kaggle.com/competitions/arc-prize-2024/discussion/534185,1,2
Paper Submission Update Req'd,James Huddle,https://www.kaggle.com/competitions/arc-prize-2024/discussion/533888,2,2
Error submissions should not be counted,fuzzthink,https://www.kaggle.com/competitions/arc-prize-2024/discussion/533963,1,2
"Thoughts on Using LLM Models (ChatGPT, Gemini etc.) for Assistance in Competitions?",hklee,https://www.kaggle.com/competitions/arc-prize-2024/discussion/533633,1,2
Whats the highest LLM-only score?,OminousDude,https://www.kaggle.com/competitions/arc-prize-2024/discussion/532140,8,2
Reflection! The key to ARC?,OminousDude,https://www.kaggle.com/competitions/arc-prize-2024/discussion/532567,2,2
Cause and Effect,James Huddle,https://www.kaggle.com/competitions/arc-prize-2024/discussion/531528,6,3
The phone call is coming from INSIDE THE HOUSE,James Huddle,https://www.kaggle.com/competitions/arc-prize-2024/discussion/533177,-3,3
Running non-python / executables,fuzzthink,https://www.kaggle.com/competitions/arc-prize-2024/discussion/532551,3,3
Some questions about this task,SeaXu,https://www.kaggle.com/competitions/arc-prize-2024/discussion/532780,1,3
What's the highest score (train/dev set) for a closed-sorce model so far?,KKY,https://www.kaggle.com/competitions/arc-prize-2024/discussion/530835,2,3
General Security,James Huddle,https://www.kaggle.com/competitions/arc-prize-2024/discussion/532498,-2,3
[place holder] my idea to solve ARC-AGI,hengck23,https://www.kaggle.com/competitions/arc-prize-2024/discussion/528879,28,3
Has anyone succeeded in building a predictive model to determine the output dimensions with 100% accuracy?,Madcat,https://www.kaggle.com/competitions/arc-prize-2024/discussion/531809,5,3
Is there any llm cutoff date for this competition?,Quickpanda,https://www.kaggle.com/competitions/arc-prize-2024/discussion/531407,5,3
interesting paper on analogical reasoning in ARC,andy jennings,https://www.kaggle.com/competitions/arc-prize-2024/discussion/531821,5,3
graph approach,andy jennings,https://www.kaggle.com/competitions/arc-prize-2024/discussion/518930,23,3
"Sharing the Pre-Print of the Research Paper "" Towards Artificial General Intelligence: Enhancing LLMs capability for Abstraction and Reasoning""",C R Suthikshn Kumar,https://www.kaggle.com/competitions/arc-prize-2024/discussion/531197,2,3
Will the Strawberry crack this competition?,ZXY,https://www.kaggle.com/competitions/arc-prize-2024/discussion/531021,5,3
Neural Network Outputs - Are You Getting The Same?,darkmabler,https://www.kaggle.com/competitions/arc-prize-2024/discussion/521873,4,3
NeurIPS - Ariel Data Challenge 2024,Gopalakrishnan Kumar,https://www.kaggle.com/competitions/arc-prize-2024/discussion/531027,-11,3
Is This the last Kaggle featured competition at the moment?,Peh Poh Eng,https://www.kaggle.com/competitions/arc-prize-2024/discussion/530533,1,3
The most promising way：《Relational decomposition for program synthesis》+ michaelhodel/arc-dsl，and some opensource ARC project code,aimind,https://www.kaggle.com/competitions/arc-prize-2024/discussion/514625,31,3
Pretraining,Jesse McCrosky,https://www.kaggle.com/competitions/arc-prize-2024/discussion/530372,3,3
Speed Comparison of Open weighted LLMs,C R Suthikshn Kumar,https://www.kaggle.com/competitions/arc-prize-2024/discussion/530397,2,3
Submission Scoring Error,Muhammad,https://www.kaggle.com/competitions/arc-prize-2024/discussion/530057,2,3
Question about team and requirements,Christian Basile,https://www.kaggle.com/competitions/arc-prize-2024/discussion/529731,1,4
More approaches and ideas,Sirish Somanchi,https://www.kaggle.com/competitions/arc-prize-2024/discussion/522803,25,4
ARC using RL?,Linda MacPhee-Cobb,https://www.kaggle.com/competitions/arc-prize-2024/discussion/527765,4,4
Prediction 0%,adl212,https://www.kaggle.com/competitions/arc-prize-2024/discussion/529130,1,4
"My perspective on this challenge, feedback appreciated",G John Rao,https://www.kaggle.com/competitions/arc-prize-2024/discussion/529204,1,4
Submission CSV Not Found - Very Frequent,Ali,https://www.kaggle.com/competitions/arc-prize-2024/discussion/513673,6,4
yeah I feel powerful now,Anren,https://www.kaggle.com/competitions/arc-prize-2024/discussion/518641,25,4
Program Synthesis with LLMs ?,Prashant Limba,https://www.kaggle.com/competitions/arc-prize-2024/discussion/527423,13,4
ARC Mastery📌Tutorial-1,Mehran Kazeminia,https://www.kaggle.com/competitions/arc-prize-2024/discussion/527716,8,4
sharing my architecture so people better than me can give it a shot,MarkStudioMEAT,https://www.kaggle.com/competitions/arc-prize-2024/discussion/527419,-5,4
Score 33 using LLM,Sirish Somanchi,https://www.kaggle.com/competitions/arc-prize-2024/discussion/512910,47,4
🧬genetic algorithm as sloution 🧬,ParsaH,https://www.kaggle.com/competitions/arc-prize-2024/discussion/524468,9,4
Why only public leaderboard,Dipam Chakraborty,https://www.kaggle.com/competitions/arc-prize-2024/discussion/511840,13,4
Instructions are unclear about multiple inputs,Thoko Malizani,https://www.kaggle.com/competitions/arc-prize-2024/discussion/527236,4,4
Submission Scoring Error,ljcheng,https://www.kaggle.com/competitions/arc-prize-2024/discussion/514258,4,4
Kaggle references for onboarding,Ravi Ramakrishnan,https://www.kaggle.com/competitions/arc-prize-2024/discussion/511728,97,4
Platform for Creating ARC-AGI Puzzles (revisited),Christian Jones,https://www.kaggle.com/competitions/arc-prize-2024/discussion/522584,8,4
ARC2020 Vs. ARC2024,Mehran Kazeminia,https://www.kaggle.com/competitions/arc-prize-2024/discussion/521200,30,4
How to tackle this competition,moth,https://www.kaggle.com/competitions/arc-prize-2024/discussion/511879,79,4
The reasons why I find ARC problem difficult,WOOSUNG YOON,https://www.kaggle.com/competitions/arc-prize-2024/discussion/524052,8,4
ARC: Generalization Difficulty. Computation efficiency. Core Knowledge priors.,Marília Prata,https://www.kaggle.com/competitions/arc-prize-2024/discussion/511743,34,5
Evaluation challenges for training,Ish,https://www.kaggle.com/competitions/arc-prize-2024/discussion/524203,1,5
Can we use Kaggle Models on this competition?,Ansh Gupta,https://www.kaggle.com/competitions/arc-prize-2024/discussion/516054,5,5
Are there any excellent tools for ARC data management and data generation?,rangtang,https://www.kaggle.com/competitions/arc-prize-2024/discussion/522797,6,5
Social and Collaborative Problem Solving,G John Rao,https://www.kaggle.com/competitions/arc-prize-2024/discussion/514761,3,5
