doc_id,question,answer
0,What is the name of the competition?,Rohlik Orders Forecasting Challenge
1,What is the main task in the Rohlik Orders Forecasting Challenge?,Use historical data to predict customer orders
2,What is the main focus of the Kaggle competition?,Predicting the number of grocery deliveries at selected warehouses for the next 60 days.
2,In which countries does Rohlik Group operate?,"Czech Republic, Germany, Austria, Hungary, and Romania."
2,When does the competition close?,"August 23, 2024"
3,What is the main reason for needing accurate order forecasts?,"Accurate order forecasts are crucial for planning process, impacting workforce allocation, delivery logistics, inventory management, and supply chain efficiency."
3,What is the expected impact of optimizing forecasts?,"By optimizing forecasts, we can minimize waste and streamline operations, making our e-grocery services more sustainable and efficient."
3,How will participant contributions directly affect Rohlik?,Your participation in this challenge will directly contribute to Rohlik mission of sustainable and efficient e-grocery delivery. Your insights will help us enhance customer service and achieve a greener future.
4,What metric is used to evaluate submissions in this Kaggle competition?,Mean Absolute Percentage Error
5,What is the name of the column that contains the predicted number of orders?,ORDERS
5,What is the format of the submission file?,"ID,ORDERS"
6,What is the prize for winning the Kaggle competition?,"$5,000"
7,When is the final submission deadline for the competition?,"August 23, 2024"
7,What is the last day to merge with another team?,"August 9, 2024"
8,Who is the author of the Rohlik Orders Forecasting Challenge?,MichalKecera
9,Who is the host of this Kaggle competition?,MichalKecera
10,What is the total prize money for this Kaggle competition?,"$12,000"
11,How many teams participated in the competition?,"1,017 Teams"
12,What is the objective of the Kaggle competition?,To forecast the 'orders' column for the test set.
13,What files are provided in the competition's dataset?,"The competition dataset includes train.csv, test.csv, solution_example.csv, train_calendar.csv, and test_calendar.csv."
14,What is the name of the column that indicates the number of customer orders attributed to the warehouse?,orders
14,What is the meaning of the column 'shops_closed'?,Public holiday with most of the shops or large part of shops closed
14,What is the meaning of the column 'mov_change'?,A change in minimum order value indicating potential change in customer behaviour
14,What are the two columns in 'train_calendar.csv' that describe user activity on the website?,user_activity_1 and user_activity_2
14,What type of data is contained in the 'id' column?,row id consisting of warehouse name and date
14,What is the meaning of the column 'precipitation'?,Precipitation in mm around the location of the warehouse which correlates with location of the customers
14,How does 'train_calendar.csv' differ from 'train.csv'?,It contains a subset of columns from 'train.csv' but more rows as it contains all dates whereas train.csv does not contain dates where warehouse was closed due to public holidays or other events
15,How many files are included in the competition dataset?,5
16,What is the size of the dataset?,1.44 MB
17,What is the file format of the data?,csv
18,What governs the usage of competition data?,Competition Rules
19,What are the names of the data files available for this Kaggle competition?,"The data files are solution_example.csv, test.csv, test_calendar.csv, train.csv, and train_calendar.csv."
19,What is the size of the solution_example.csv file?,The solution_example.csv file is 1.44 MB.
20,How many columns are in the dataset?,50
21,Who won the Kaggle competition?,Anak Lakarsantri 🇮🇩
22,What score did the team 'techniquetwice' achieve in the competition?,0.0366
23,What is the score of the team 'DerTeam'?,0.0371
24,What was the score achieved by the team 'yitiaoxiaoyuer' in the competition?,0.0374
25,What was the score of the ChickenBoy team?,0.0396
1038,"What factors contributed to the relative stability of the leaderboard and the absence of a significant shakeup, despite initial expectations of a major shift?","The stability of the leaderboard, particularly at the top, can be attributed to the nature of the data split.  The training data predates the leaderboard data, and a time-based split aligning with the leaderboard's timeframe reveals a strong correlation between performance on a subset of the test data and overall performance. This suggests that models excelling on the public leaderboard likely excel on the private leaderboard as well, explaining the lack of a major shakeup."
