place,team_name,submission_date,score
1,c-number,2024-08-13 17:49:21,1259.9
2,Tricksy Hobbitses,2024-08-11 07:22:27,1232.6
3,agent alpha,2024-08-13 14:46:44,1229.6
4,Oxford Kaggle Club,2024-08-13 22:21:20,1169.3
5,yukky_maru,2024-08-13 18:46:24,1159.5
6,Rist bot,2024-08-13 08:29:16,1158.5
7,Ilmari Vahteristo,2024-08-13 08:30:58,1153.6
8,Jaja,2024-08-12 19:30:39,1144.6
9,ISAKA Tsuyoshi,2024-08-13 14:40:59,1144.1
10,Full Power Agent,2024-08-13 23:33:24,1140.9
11,majimekun,2024-08-13 11:41:12,1140.6
12,kambehmw,2024-08-13 16:38:29,1110.7
13,Praying Agent 🧎🙏🏻,2024-08-13 14:35:22,1100.1
14,zzzz,2024-08-13 15:17:46,1085.8
15,Benjamin Kovacs,2024-08-13 23:27:28,1045.3
16,Junhua Yang,2024-08-13 05:49:28,1039.4
17,YOLO,2024-08-13 06:37:35,1036.7
18,Dmitry Leontyev,2024-08-13 19:27:07,1028.3
19,Nagata,2024-08-12 17:27:14,1006.9
20,KKY,2024-08-13 21:36:55,1006.6
21,Joonas Maanonen,2024-08-13 21:18:03,1005.0
22,Bhanu Prakash Mopidevi,2024-08-13 23:50:48,1005.0
23,Neuron Engineer,2024-08-13 15:46:27,999.6
24,LinChenyu,2024-08-13 01:37:19,987.4
25,Pascal Pfeiffer,2024-08-13 11:48:33,980.0
26,Azat Akhtyamov,2024-08-13 23:14:34,969.9
27,sqrt4kaido,2024-08-13 07:23:18,957.5
28,Vibhatsu,2024-08-13 13:24:35,952.2
29,kek,2024-08-13 23:20:53,951.1
30,Kazuo Watanabe,2024-08-13 00:35:29,949.8
31,Jed,2024-08-13 20:03:13,947.5
32,dynamic24,2024-08-13 02:10:06,944.6
33,2️⃣0️⃣❓ 🤔,2024-08-13 16:13:21,942.9
34,tamura,2024-08-13 23:26:26,940.5
35,Alex Glinsky,2024-08-13 21:49:43,936.3
36,mhericks,2024-07-13 19:10:30,932.9
37,Van Mason,2024-08-13 21:04:58,931.5
38,Melinda,2024-08-10 17:32:48,929.6
39,IC2,2024-08-13 22:49:57,928.9
40,ravi tanwar,2024-08-12 17:55:48,928.8
41,Thomas,2024-07-04 16:29:20,928.0
42,Downheart,2024-08-13 23:17:39,923.1
43,Kasahara,2024-08-11 10:18:50,919.4
44,kaoutar,2024-08-11 23:26:01,919.0
45,Just Be Better,2024-08-07 01:49:32,917.1
46,Dawid Motyka,2024-08-13 08:07:55,914.0
47,Data Dazzlers,2024-08-13 08:08:30,911.8
48,techniquetwice,2024-08-13 15:57:37,910.8
49,BK,2024-08-13 18:04:32,910.5
50,Ioannis M,2024-08-08 09:56:44,909.6
51,gwh666,2024-08-13 02:09:49,907.9
52,torino,2024-08-13 16:40:03,903.5
53,TomFuj,2024-08-13 18:18:27,897.5
54,Agile Gandalf,2024-08-13 16:09:52,894.9
55,Wal8800,2024-08-13 11:19:53,894.3
56,bono,2024-08-08 09:47:51,891.9
57,TuMinhDang,2024-08-13 06:27:55,891.2
58,kei hasegawa,2024-08-07 23:36:24,886.7
59,vj4science,2024-08-13 22:02:20,885.5
60,so_so,2024-08-13 16:53:52,884.1
61,Prashant Kikani,2024-08-13 07:27:26,883.9
