place,team_name,submission_date,score
1,CHINONSO ODIAKA,2024-09-03 13:28:29,0.96250
2,vladkha,2024-08-06 19:03:55,0.96250
3,DiegoEscGom,2024-07-03 16:57:51,0.93750
4,ArturG,2024-08-30 07:23:29,0.93750
5,SudhanshuSharma,2024-09-12 04:16:48,0.93750
6,Prem Adithya,2024-09-14 07:40:37,0.93750
7,KABIR OLAWALE MOHAMMED,2024-08-21 14:24:11,0.92500
8,Jj,2024-07-19 22:32:41,0.91250
9,Roman Zabolotin,2024-08-13 03:01:58,0.91250
10,Vyacheslav Shen,2024-07-30 13:05:35,0.90000
11,Nevin Polat,2024-08-29 20:00:29,0.90000
12,Valery Rabinin,2024-09-03 15:56:07,0.90000
13,Kailash Prem,2024-07-03 00:04:45,0.88750
14,pijaso,2024-07-22 18:11:38,0.88750
15,Carlos,2024-08-10 12:49:21,0.88750
16,Alexander Heinz,2024-08-27 13:31:37,0.88750
17,Eduardo Munoz Sala,2024-08-22 16:28:09,0.87500
18,Khubbatulin Mark,2024-08-08 19:20:31,0.86250
19,Dimitrios Zacharenakis,2024-08-27 01:31:23,0.86250
20,Illya Vasylevskiy,2024-06-24 06:22:03,0.85000
21,ShunLungChang,2024-08-10 17:23:15,0.83750
22,Dandy Arif Rahman,2024-09-10 14:40:36,0.83750
23,Peco602,2024-08-14 15:45:48,0.82500
24,max,2024-07-04 14:09:15,0.81250
25,AbdulKabir Subair,2024-09-01 19:12:55,0.81250
26,no_agile_here,2024-07-23 06:40:56,0.80000
27,Abigail Uchenna Nkama,2024-08-29 07:05:47,0.80000
28,Marcel Castro,2024-07-25 13:12:37,0.78750
29,Ivan Brigida,2024-08-28 20:15:57,0.77500
30,Dmitry Kosintsev,2024-09-03 14:46:11,0.77500
31,Hester Pieters,2024-07-12 12:23:23,0.75000
32,morsondak,2024-09-05 13:47:06,0.73750
33,Merve Din,2024-08-30 17:32:05,0.73750
34,Thanhnhan29,2024-08-15 02:28:05,0.72500
35,Mostafa Gamal,2024-09-03 13:51:48,0.72500
36,NITISH N,2024-09-02 15:35:01,0.68750
37,Abdelrahman Alkahwaji,2024-08-30 15:33:42,0.67500
38,Lone Wolves,2024-08-04 19:46:30,0.65000
39,Alexey Muratov,2024-08-10 17:05:16,0.63750
40,Caleb Emelike,2024-06-28 12:45:45,0.62500
41,Chidera E,2024-06-28 11:48:43,0.60000
42,Uchechukwu Njoku,2024-07-16 18:47:17,0.58750
43,Viktor Vialov,2024-06-24 18:37:12,0.56250
44,Fazle Hasan,2024-09-05 12:19:55,0.55000
45,Jericho Arcelao,2024-07-10 15:54:04,0.53750
46,Hariprasath,2024-08-30 08:35:15,0.52500
47,lkirch,2024-08-11 18:32:51,0.51250
48,starter_notebook,2024-07-02 09:45:50,0.50000
49,Michael Shoemaker,2024-06-24 19:06:33,0.50000
50,Olawale Abiodun Ogundeji,2024-06-30 02:32:04,0.50000
51,Natasha Sharma,2024-07-03 09:44:49,0.50000
52,Pastor Soto,2024-07-31 12:33:37,0.50000
53,Ranga Hande,2024-08-07 17:58:27,0.50000
54,batxes,2024-08-19 13:51:04,0.50000
55,Rishi,2024-07-02 17:21:50,0.42500
56,Interprovincial Learning Group,2024-07-27 02:47:20,0.35000
57,Pulkit Mehta,2024-06-27 10:23:20,0.33750
58,Jonathan Loscalzo,2024-07-16 22:59:51,0.08750
59,Muhammad Qasim Shabbir,2024-09-09 14:47:51,0.01250
60,sample_submission.csv,2024-06-20 09:41:16,0.00000
61,SunShine,2024-08-07 17:02:52,0.00000
