place,team_name,submission_date,score
1,Anak Lakarsantri 🇮🇩,2024-08-23 18:18:53,0.0360
2,techniquetwice,2024-07-22 13:38:24,0.0366
3,DerTeam,2024-08-23 17:18:49,0.0371
4,yitiaoxiaoyuer,2024-08-23 08:57:33,0.0374
5,ChickenBoy,2024-08-23 15:16:54,0.0396
6,Vincent Schuler,2024-08-22 12:26:31,0.0397
7,Chaitanyagarg2,2024-08-23 12:46:06,0.0397
8,vladkha,2024-08-23 21:33:12,0.0398
9,Jakob Huss,2024-07-23 16:28:43,0.0403
10,Lucky Strike,2024-08-01 13:37:16,0.0405
11,Ern711,2024-08-23 21:44:20,0.0414
12,Eran Aharonovich,2024-08-23 21:09:00,0.0415
13,lkadasd,2024-07-30 12:49:05,0.0417
14,muehehe,2024-07-30 12:55:00,0.0418
15,Ning Jia,2024-08-21 20:58:32,0.0419
16,senkin13,2024-08-23 14:22:35,0.0421
17,Štěpán Műller,2024-08-19 07:48:18,0.0423
18,Mohammad Albaddawi,2024-08-23 21:41:08,0.0432
19,Yan Teixeira,2024-07-21 04:04:01,0.0435
20,Samsay24,2024-08-23 21:54:59,0.0435
21,Musab Ahmed,2024-08-23 10:00:05,0.0437
22,RuiZ11111,2024-08-21 12:23:07,0.0437
23,Mustafa Ahmad,2024-08-23 18:30:05,0.0439
24,Fizza Adeel,2024-08-23 21:11:32,0.0440
25,jojozzz,2024-08-23 15:27:22,0.0441
26,Hedi Kh,2024-08-23 12:50:40,0.0442
27,Dmitriy Ch,2024-08-23 18:30:55,0.0442
28,Not Today,2024-08-23 09:03:16,0.0443
29,NumWise,2024-08-23 16:09:52,0.0443
30,Kaggle Temp38,2024-08-23 16:22:23,0.0443
31,Patrik Pivoda,2024-08-17 22:45:29,0.0444
32,Vojtěch Ondra,2024-08-19 16:35:04,0.0445
33,YC3855,2024-08-23 21:28:56,0.0445
34,Muhammad Nadhif N.,2024-08-22 18:47:20,0.0446
35,ryoya,2024-08-18 00:33:31,0.0447
36,Nostradamus,2024-08-23 16:46:23,0.0447
37,Nischay Dhankhar,2024-08-23 10:55:40,0.0447
38,Evgeni Kasatkin,2024-08-23 08:10:46,0.0447
39,🤝,2024-08-23 21:53:49,0.0448
40,Parfect mind,2024-08-11 01:49:10,0.0449
41,NFoFUW,2024-08-23 21:50:21,0.0450
42,nihilisticneuralnet,2024-08-23 21:47:55,0.0450
43,AkashSharma,2024-08-23 19:43:06,0.0450
44,Seif Eddine Achour,2024-08-22 21:48:22,0.0450
45,Fiha,2024-08-23 14:35:26,0.0451
46,Declan McAlinden,2024-07-02 17:06:23,0.0451
47,Mohamed abdelrazik,2024-08-23 18:06:35,0.0451
48,Ali,2024-08-23 04:37:55,0.0451
49,mohamed_desouky95,2024-08-15 05:35:41,0.0451
50,Greg,2024-08-22 09:20:44,0.0452
51,Mohsin hasan,2024-07-29 08:45:07,0.0452
52,professional food critic,2024-08-23 11:25:38,0.0452
53,Michael Ibrahim,2024-08-22 09:38:13,0.0452
54,Are Quon,2024-08-20 22:46:40,0.0452
55,Riyadh Barka,2024-08-18 16:18:22,0.0452
56,jggk,2024-08-23 19:59:41,0.0454
57,Zodiac,2024-08-19 20:48:26,0.0454
58,Ihtisham Mehmood,2024-08-22 08:50:32,0.0454
59,Hacker Bro2,2024-08-18 07:51:07,0.0454
60,Soumyadip Roy,2024-08-18 14:15:33,0.0454
61,Minato Namikaze,2024-08-23 17:46:00,0.0454
62,Peter Kinder,2024-08-19 23:05:11,0.0455
63,Đông Lê Bùi Phương,2024-08-23 18:39:04,0.0455
64,Dammala Uday kiran,2024-08-17 19:54:02,0.0455
